yaxcatd (C:\Program Files\Tableau\Tableau 2019.4\bin\yaxcat\yaxcatd.exe) built at b25f0c5 listening on 127.0.0.1:37089 with 8 worker threads.
2020-02-27T10:21:38+0530 0.014ms; [no ensemble]::ping: 
2020-02-27T10:21:38+0530 0.009ms; [no ensemble]::ping: 
2020-02-27T10:21:38+0530 2.613ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 3x2, dt_FZO3MV4CT2LPCFKRNDLTLMWW
2020-02-27T10:21:38+0530 5.283ms; RemoteEnsemble(16 models, 2 columns)::simulate_given_values: n = 100, 1 targets, 1x1 givens
2020-02-27T10:21:38+0530 0.067ms; [no ensemble]::delete_data: dt_FZO3MV4CT2LPCFKRNDLTLMWW, deleted = yes
2020-02-27T10:21:38+0530 0.449ms; RemoteEnsemble(16 models, 3 columns)::upload_data: 3x3, dt_MZO5TCONESIL7HFNBTUESFEK
2020-02-27T10:21:38+0530 0.441ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x1
2020-02-27T10:21:38+0530 0.142ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x1
2020-02-27T10:21:38+0530 0.381ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x1
2020-02-27T10:21:38+0530 0.677ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x2
2020-02-27T10:21:38+0530 0.130ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x2
2020-02-27T10:21:38+0530 0.091ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x2
2020-02-27T10:21:38+0530 0.147ms; [no ensemble]::delete_data: dt_MZO5TCONESIL7HFNBTUESFEK, deleted = yes
2020-02-27T10:21:38+0530 0.444ms; RemoteEnsemble(16 models, 3 columns)::upload_data: 3x3, dt_P75MZQJG4XAJQVBDQCHLYW3V
2020-02-27T10:21:38+0530 0.740ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x1
2020-02-27T10:21:38+0530 0.106ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x1
2020-02-27T10:21:38+0530 0.207ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x1
2020-02-27T10:21:38+0530 0.546ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x2
2020-02-27T10:21:38+0530 0.097ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x2
2020-02-27T10:21:38+0530 0.098ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x2
2020-02-27T10:21:38+0530 0.064ms; [no ensemble]::delete_data: dt_P75MZQJG4XAJQVBDQCHLYW3V, deleted = yes
2020-02-27T10:21:38+0530 0.369ms; RemoteEnsemble(16 models, 3 columns)::upload_data: 3x3, dt_6RQ6MPGHXKJ3CXTUQJTN6ZVJ
2020-02-27T10:21:38+0530 0.514ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x1
2020-02-27T10:21:38+0530 0.141ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x1
2020-02-27T10:21:38+0530 0.154ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x1
2020-02-27T10:21:38+0530 0.625ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x2
2020-02-27T10:21:38+0530 0.100ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x2
2020-02-27T10:21:38+0530 0.103ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x2
2020-02-27T10:21:38+0530 0.072ms; [no ensemble]::delete_data: dt_6RQ6MPGHXKJ3CXTUQJTN6ZVJ, deleted = yes
2020-02-27T10:21:38+0530 0.540ms; RemoteEnsemble(16 models, 3 columns)::upload_data: 3x3, dt_H5YX7D7ONJ3CYN4GKJG2DBEF
2020-02-27T10:21:38+0530 0.426ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x1
2020-02-27T10:21:38+0530 0.086ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x1
2020-02-27T10:21:38+0530 0.105ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x1
2020-02-27T10:21:38+0530 0.605ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x2
2020-02-27T10:21:38+0530 0.099ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x2
2020-02-27T10:21:38+0530 0.180ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x2
2020-02-27T10:21:38+0530 0.092ms; [no ensemble]::delete_data: dt_H5YX7D7ONJ3CYN4GKJG2DBEF, deleted = yes
2020-02-27T10:21:38+0530 0.333ms; RemoteEnsemble(16 models, 3 columns)::upload_data: 3x3, dt_U5MINAMBJCPSLNMVXABSA3IS
2020-02-27T10:21:38+0530 0.564ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x1
2020-02-27T10:21:38+0530 0.157ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x1
2020-02-27T10:21:38+0530 0.122ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x1
2020-02-27T10:21:38+0530 1.733ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x2
2020-02-27T10:21:38+0530 0.121ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x2
2020-02-27T10:21:38+0530 0.081ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x2
2020-02-27T10:21:38+0530 0.133ms; [no ensemble]::delete_data: dt_U5MINAMBJCPSLNMVXABSA3IS, deleted = yes
2020-02-27T10:21:38+0530 0.566ms; RemoteEnsemble(16 models, 3 columns)::upload_data: 3x3, dt_AJG4OGD2L5LUGIZKGQNIRVP6
2020-02-27T10:21:38+0530 0.532ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x1
2020-02-27T10:21:38+0530 0.060ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x1
2020-02-27T10:21:38+0530 0.052ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x1
2020-02-27T10:21:38+0530 0.458ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: mean of column 0 given 1x2
2020-02-27T10:21:38+0530 0.148ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: variance of column 0 given 1x2
2020-02-27T10:21:38+0530 0.068ms; RemoteEnsemble(16 models, 3 columns)::univariate_stat: excess kurtosis of column 0 given 1x2
2020-02-27T10:21:38+0530 0.139ms; [no ensemble]::delete_data: dt_AJG4OGD2L5LUGIZKGQNIRVP6, deleted = yes
